exp_id,num_cores,cpu_clock_GHz,l1i_kb,l1d_kb,l1_assoc,l2_kb,l2_assoc,fetchWidth,decodeWidth,issueWidth,commitWidth,numROBEntries,numIQEntries,LQEntries,SQEntries,branch_predictor
128,1,1.2,16,32,2,2048,8,2,8,12,2,64,32,8,16,TournamentBP
129,4,3.2,64,64,2,2048,4,12,2,12,4,192,64,32,64,TournamentBP
130,32,3.4,16,64,2,512,4,4,8,12,8,32,128,32,16,TAGE_SC_L_64KB
131,8,2.2,128,16,8,2048,4,2,4,4,2,128,32,8,64,TAGE
132,2,2.0,32,32,8,128,16,4,2,12,8,192,32,64,64,TournamentBP
133,4,3.4,16,32,4,1024,16,4,4,12,8,32,16,8,64,BiModeBP
134,16,2.2,128,64,2,2048,2,4,2,4,12,32,64,32,8,TAGE
135,2,3.0,128,128,1,512,2,8,4,4,4,192,32,32,64,LocalBP
136,1,1.4,16,16,1,2048,16,8,2,4,12,32,16,32,16,TournamentBP
137,32,2.4,64,128,1,1024,2,12,4,2,8,192,32,32,16,TAGE_SC_L_64KB
138,16,2.0,16,128,4,128,4,4,4,2,2,64,32,64,16,TAGE_SC_L_64KB
139,32,1.4,64,32,2,1024,8,4,8,2,8,256,128,32,64,TAGE_SC_L_64KB
140,32,2.2,32,32,8,1024,2,12,2,12,8,32,128,8,16,MultiperspectivePerceptron64KB
141,8,1.0,16,128,4,1024,4,2,8,12,4,32,32,32,16,TournamentBP
142,4,4.0,32,64,8,2048,8,8,12,2,12,128,96,32,8,TournamentBP
143,1,1.0,32,32,1,2048,4,12,2,4,8,192,96,16,32,MultiperspectivePerceptron64KB
144,16,2.6,64,64,4,2048,8,2,12,8,12,64,64,32,64,TournamentBP
145,2,2.6,128,32,1,512,8,2,8,4,4,192,16,32,32,TAGE
146,16,1.0,32,128,1,512,4,2,2,4,2,64,96,64,8,TournamentBP
147,1,3.8,128,128,2,256,4,8,4,2,8,64,96,32,8,MultiperspectivePerceptron64KB
148,8,1.6,32,128,2,256,4,12,2,4,2,128,128,32,32,TAGE
149,8,2.2,64,32,1,512,8,12,4,12,12,32,128,32,64,TAGE_SC_L_64KB
150,32,2.0,16,16,1,256,2,8,2,4,8,64,96,64,16,MultiperspectivePerceptron64KB
151,1,1.2,128,64,4,2048,4,12,8,8,8,64,128,64,32,TAGE
152,8,1.2,128,32,4,1024,16,2,2,2,2,64,64,16,8,MultiperspectivePerceptron64KB
153,16,3.0,64,32,2,128,8,2,2,8,4,192,64,16,64,LocalBP
154,8,2.4,64,64,1,1024,4,8,12,4,2,128,96,32,32,TAGE
155,8,4.0,32,128,4,2048,2,4,4,2,2,128,96,64,8,BiModeBP
156,2,3.8,64,32,4,1024,16,4,4,8,8,64,64,32,8,TAGE
157,2,1.6,128,16,2,2048,16,4,12,2,8,64,32,8,16,LocalBP
158,1,3.2,64,16,4,2048,4,4,12,12,4,128,16,64,16,LocalBP
159,4,3.2,32,128,4,512,16,4,12,2,2,64,64,8,32,BiModeBP
160,16,3.6,128,64,4,2048,4,2,4,8,2,256,64,32,16,MultiperspectivePerceptron64KB
161,1,3.8,128,64,1,256,4,8,4,8,4,32,128,8,64,TournamentBP
162,8,4.0,64,64,1,512,4,4,8,8,4,256,128,16,16,BiModeBP
163,2,1.0,16,64,4,512,2,8,8,2,2,128,16,8,64,LocalBP
164,32,4.0,16,128,2,512,8,8,8,2,8,192,64,8,8,TournamentBP
165,32,2.6,16,16,4,512,8,12,4,12,12,64,96,64,32,TournamentBP
166,16,1.4,32,64,4,128,2,12,4,12,12,256,96,8,64,TAGE
167,2,2.0,128,16,2,1024,8,2,4,8,12,32,32,16,8,BiModeBP
168,1,1.0,32,64,8,2048,2,2,4,8,12,256,64,16,64,TournamentBP
169,1,1.0,32,32,8,512,4,4,2,4,4,64,64,16,64,TAGE_SC_L_64KB
170,1,3.8,128,128,4,128,4,2,4,2,2,64,128,64,16,TournamentBP
171,32,4.0,16,16,8,128,4,12,4,12,2,128,96,8,8,MultiperspectivePerceptron64KB
172,32,2.0,64,16,1,128,8,2,12,2,2,32,96,16,64,TAGE_SC_L_64KB
173,1,4.0,32,64,8,2048,8,2,4,8,2,64,64,32,8,TournamentBP
174,1,1.0,128,64,8,128,8,4,4,8,8,64,64,8,16,TournamentBP
175,8,1.8,16,64,4,2048,4,2,2,8,2,128,32,32,64,TournamentBP
176,4,1.8,128,64,1,256,2,2,12,12,4,128,32,16,8,TAGE_SC_L_64KB
177,32,3.4,128,16,8,128,8,12,4,4,4,192,16,16,32,TAGE
178,2,2.8,128,128,8,512,16,4,4,8,4,64,128,8,8,TAGE_SC_L_64KB
179,16,2.0,16,32,8,1024,8,4,4,4,2,128,16,16,32,TAGE
180,8,1.2,64,128,2,128,4,4,4,8,8,192,128,32,64,TAGE_SC_L_64KB
181,2,1.2,16,64,8,2048,2,2,8,2,4,192,32,32,64,TAGE
182,16,3.2,64,16,4,512,4,2,8,4,2,192,96,64,16,TournamentBP
183,8,3.2,32,64,1,1024,8,2,8,4,2,64,96,32,32,BiModeBP
184,1,2.8,64,16,1,256,2,2,2,12,8,64,128,64,8,MultiperspectivePerceptron64KB
185,1,1.4,128,64,4,256,16,4,2,12,12,32,32,16,8,TournamentBP
186,16,2.0,16,128,1,128,16,12,4,2,4,192,96,8,16,BiModeBP
187,4,3.6,16,32,2,2048,16,12,8,8,4,32,96,64,8,TAGE_SC_L_64KB
188,8,3.8,32,64,4,256,4,8,4,4,8,64,32,32,16,BiModeBP
189,4,2.0,128,32,4,256,8,8,8,4,12,256,128,16,64,LocalBP
190,8,3.4,64,64,8,1024,4,8,2,8,8,192,96,8,32,MultiperspectivePerceptron64KB
191,2,2.0,128,16,1,1024,16,12,2,4,4,128,64,8,16,TAGE_SC_L_64KB
192,32,3.8,64,128,4,2048,8,12,12,8,4,256,16,32,64,MultiperspectivePerceptron64KB
193,4,1.0,128,32,4,1024,16,4,2,12,4,192,96,32,8,BiModeBP
194,2,3.2,64,16,2,512,4,8,8,2,4,128,96,64,16,MultiperspectivePerceptron64KB
195,4,3.0,16,32,1,1024,4,8,12,4,4,64,16,8,16,TournamentBP
196,2,1.0,128,32,1,2048,2,8,12,4,2,32,16,16,64,TAGE
197,8,1.4,32,32,1,512,8,4,2,12,4,192,16,16,16,TAGE_SC_L_64KB
198,4,2.8,32,128,4,2048,2,12,4,12,12,128,16,8,64,BiModeBP
199,32,2.8,128,32,8,128,2,2,2,4,8,192,96,64,32,MultiperspectivePerceptron64KB
200,2,3.6,32,32,8,512,16,4,8,8,8,192,64,8,32,TAGE
201,2,4.0,128,64,1,1024,4,2,12,12,8,192,64,8,64,TAGE
202,1,1.4,64,64,8,512,16,12,8,4,2,64,96,16,64,TAGE_SC_L_64KB
203,16,1.2,128,32,2,2048,8,12,4,8,12,192,96,64,32,LocalBP
204,4,1.8,128,32,4,512,16,2,8,12,8,192,32,16,16,TAGE
205,32,1.2,32,128,8,512,16,8,4,2,2,192,64,64,8,MultiperspectivePerceptron64KB
206,8,2.6,32,32,1,128,16,2,2,4,2,256,128,32,32,BiModeBP
207,4,2.0,64,64,8,2048,8,4,4,2,2,64,16,64,8,MultiperspectivePerceptron64KB
208,32,1.2,128,128,8,128,4,8,4,12,4,64,128,8,64,TAGE
209,16,3.8,32,128,2,512,4,4,4,2,8,256,32,64,16,TAGE
210,8,2.4,16,128,4,128,16,4,4,12,4,192,96,32,64,TAGE
211,16,3.2,64,16,1,256,4,12,8,12,2,64,128,16,32,LocalBP
212,16,3.4,32,64,2,1024,8,12,2,2,12,128,128,64,64,TAGE_SC_L_64KB
213,16,1.2,32,64,1,512,4,4,8,12,2,256,16,32,64,TournamentBP
214,2,1.4,64,16,2,512,2,8,8,12,8,64,128,32,32,TAGE
215,1,1.0,128,32,2,128,16,2,2,2,2,32,96,16,16,TAGE
216,8,3.4,16,64,1,2048,16,8,2,8,8,64,64,32,8,BiModeBP
217,8,2.8,32,64,1,2048,4,2,2,2,12,256,128,16,16,TAGE_SC_L_64KB
218,16,1.2,16,32,4,2048,4,12,4,8,2,64,64,64,64,LocalBP
219,1,1.4,32,64,4,512,16,2,8,4,12,64,16,8,16,BiModeBP
220,1,2.4,16,64,2,1024,2,8,4,8,4,128,64,32,32,BiModeBP
221,4,2.2,32,32,1,128,2,12,4,12,2,192,16,64,8,TournamentBP
222,32,2.0,16,64,8,1024,4,4,8,12,2,256,128,16,16,TournamentBP
223,16,1.8,128,64,8,2048,4,8,12,12,12,128,16,64,64,MultiperspectivePerceptron64KB
224,16,1.0,16,128,8,256,2,2,8,8,4,256,96,8,8,TAGE
225,4,2.4,32,128,4,128,16,2,12,12,12,32,96,16,16,MultiperspectivePerceptron64KB
226,2,3.2,128,16,2,512,16,2,2,2,2,32,96,64,64,TournamentBP
227,32,1.4,16,64,4,512,8,2,2,4,8,256,16,32,16,BiModeBP
228,16,2.4,32,64,4,256,4,4,8,4,2,32,128,64,16,LocalBP
229,1,4.0,32,16,4,1024,2,4,2,12,12,256,32,8,64,LocalBP
230,2,1.2,16,32,2,256,8,4,8,12,12,64,128,16,8,TAGE
231,2,1.6,32,16,1,128,2,8,2,12,12,256,16,16,16,TAGE_SC_L_64KB
232,1,3.0,32,32,4,2048,2,2,8,2,12,192,16,32,32,BiModeBP
233,4,2.0,64,128,4,1024,8,12,8,4,12,192,16,16,64,BiModeBP
234,8,4.0,64,32,4,1024,16,2,8,12,8,64,32,8,64,TAGE
235,32,1.0,128,16,1,2048,16,8,2,12,2,128,96,64,32,LocalBP
236,16,3.2,128,32,1,2048,4,8,4,2,2,128,64,64,8,BiModeBP
237,4,3.4,64,128,4,256,4,8,8,8,2,256,64,8,8,TAGE_SC_L_64KB
238,16,1.2,16,16,4,2048,4,8,8,4,4,32,64,8,64,BiModeBP
239,8,2.4,16,32,8,2048,8,12,12,4,12,32,128,8,16,TAGE
240,16,2.8,64,64,8,512,4,12,4,12,8,256,128,16,8,TAGE_SC_L_64KB
241,2,1.6,32,32,8,128,8,4,12,4,12,128,32,16,16,MultiperspectivePerceptron64KB
242,8,2.2,32,128,2,128,8,8,2,4,12,256,128,64,64,MultiperspectivePerceptron64KB
243,2,3.2,16,64,2,1024,4,8,4,4,8,256,32,8,64,TAGE
244,8,1.4,128,16,2,256,2,12,2,12,2,128,128,64,32,MultiperspectivePerceptron64KB
245,16,3.8,64,32,2,128,4,8,4,8,12,192,64,16,16,TournamentBP
246,32,3.4,32,32,2,1024,4,2,2,4,12,64,16,8,64,LocalBP
247,1,3.8,32,128,2,1024,8,2,12,8,2,128,96,32,64,TAGE_SC_L_64KB
248,32,1.2,16,128,8,128,16,12,2,4,12,64,128,16,32,TournamentBP
249,8,2.0,16,64,4,2048,4,8,2,2,8,32,128,32,8,BiModeBP
250,16,2.8,16,64,4,256,16,12,12,12,8,192,64,8,16,TAGE
251,2,3.4,64,64,2,1024,4,2,4,12,8,32,16,8,32,BiModeBP
252,2,4.0,16,32,4,512,2,8,12,2,12,32,32,16,8,TournamentBP
253,32,3.2,128,64,8,1024,2,2,12,2,12,256,16,16,32,TAGE
254,1,3.4,32,128,8,1024,16,4,4,12,4,64,64,16,64,TournamentBP
255,32,2.4,128,64,2,256,16,12,12,12,4,256,96,32,8,TournamentBP
256,16,1.2,64,32,4,512,4,8,12,4,4,256,64,16,64,TAGE_SC_L_64KB
257,32,1.4,64,16,2,128,4,2,2,8,12,64,64,8,16,TAGE_SC_L_64KB
258,8,2.4,128,64,4,128,8,4,2,12,4,128,64,64,32,BiModeBP
259,4,3.4,128,128,1,256,8,2,4,12,4,128,16,64,16,LocalBP
260,8,1.4,32,16,2,256,4,2,12,12,8,64,96,8,32,BiModeBP
261,32,1.6,32,32,8,128,4,4,8,8,2,64,32,8,8,MultiperspectivePerceptron64KB
262,2,1.6,16,16,1,256,16,12,4,4,8,192,32,16,16,MultiperspectivePerceptron64KB
263,2,4.0,64,32,8,1024,2,4,2,12,12,64,128,32,8,MultiperspectivePerceptron64KB
264,32,1.8,16,32,4,256,4,8,8,4,2,256,128,8,16,TournamentBP
265,16,2.8,128,16,2,2048,16,2,8,4,2,192,64,64,16,TAGE_SC_L_64KB
266,1,1.6,32,32,4,1024,4,8,2,12,12,256,16,64,16,TAGE
267,4,1.4,32,64,8,512,8,4,4,4,8,64,32,8,8,TAGE
268,32,2.8,128,64,2,128,2,12,4,12,12,192,96,32,8,LocalBP
269,16,3.8,64,16,4,512,16,12,12,2,8,64,96,64,8,MultiperspectivePerceptron64KB
270,2,3.2,16,128,8,512,16,2,4,12,12,256,16,32,32,TAGE_SC_L_64KB
271,32,3.6,16,64,8,256,16,8,8,12,4,128,96,64,8,MultiperspectivePerceptron64KB
272,2,3.8,16,64,8,512,4,2,4,12,12,64,96,64,64,LocalBP
273,16,3.2,128,64,2,256,4,2,12,4,4,32,64,64,8,TAGE
274,1,4.0,64,16,2,512,4,2,4,4,4,128,96,32,64,BiModeBP
275,16,3.2,128,64,8,128,4,2,2,12,4,256,64,16,32,BiModeBP
276,8,2.8,16,128,2,1024,8,2,12,8,2,256,16,32,16,LocalBP
277,8,2.4,32,32,1,128,16,8,4,4,2,64,32,64,16,TournamentBP
278,16,2.2,128,32,1,256,8,12,4,2,4,256,128,32,32,MultiperspectivePerceptron64KB
279,4,1.4,128,64,8,1024,8,12,2,2,4,32,32,8,16,TAGE_SC_L_64KB
280,4,2.0,32,64,4,512,2,2,8,8,12,192,128,16,64,BiModeBP
281,2,3.4,32,128,2,128,4,4,2,2,2,256,32,32,32,LocalBP
282,2,1.8,16,16,8,128,8,8,12,4,2,32,96,64,8,TAGE
283,1,1.6,32,16,4,128,2,2,2,4,8,256,16,32,16,LocalBP
284,8,1.0,128,16,8,256,4,4,12,4,12,32,64,16,32,MultiperspectivePerceptron64KB
285,4,2.4,128,16,8,512,4,8,2,2,8,128,32,64,16,TAGE_SC_L_64KB
286,1,1.8,32,32,8,2048,8,8,12,2,2,32,64,32,32,TAGE
287,32,1.2,64,16,4,1024,4,2,12,4,4,64,64,8,32,LocalBP
288,2,3.2,128,32,4,256,8,2,4,4,2,192,128,8,16,LocalBP
289,32,2.2,32,64,4,2048,4,12,8,12,12,192,64,8,8,TournamentBP
290,4,2.0,32,128,4,128,16,12,8,12,8,128,32,16,8,TAGE
291,2,3.6,128,128,8,128,4,4,2,8,4,256,128,16,16,LocalBP
292,2,1.8,64,64,2,256,4,4,2,4,8,192,16,64,64,MultiperspectivePerceptron64KB
293,8,2.2,32,128,1,2048,8,2,12,4,2,64,96,32,64,TAGE_SC_L_64KB
294,8,1.6,64,64,8,256,8,12,4,4,4,128,16,16,8,TournamentBP
295,1,1.6,16,32,1,2048,16,12,2,8,8,64,16,8,64,MultiperspectivePerceptron64KB
296,16,1.6,64,32,1,128,8,8,12,8,2,192,64,32,8,TAGE
297,16,2.0,128,16,8,2048,4,2,4,2,4,64,32,64,64,TournamentBP
298,1,1.0,16,32,1,2048,4,2,12,4,12,192,96,64,64,LocalBP
299,8,1.2,16,16,8,256,2,8,4,12,8,32,128,32,64,MultiperspectivePerceptron64KB
300,8,2.8,128,128,2,1024,16,8,4,8,4,32,128,32,16,TAGE
301,16,3.0,32,64,8,256,8,4,8,4,8,128,64,16,64,TAGE
302,8,3.6,128,128,8,2048,4,2,8,8,4,256,64,64,8,TAGE_SC_L_64KB
303,1,3.2,128,64,4,512,2,8,4,4,2,64,64,64,64,LocalBP
304,8,3.2,32,16,2,2048,8,4,8,2,8,64,96,32,32,LocalBP
305,4,1.0,128,16,4,256,4,4,4,12,8,64,64,8,64,MultiperspectivePerceptron64KB
306,1,2.2,32,128,2,512,16,12,12,12,2,32,128,32,16,BiModeBP
307,32,2.6,128,32,2,2048,8,2,12,4,8,32,32,32,64,TournamentBP
308,8,1.6,64,128,2,512,2,2,12,8,2,64,32,8,16,LocalBP
309,4,3.0,32,128,2,128,16,12,4,4,12,64,16,32,8,BiModeBP
310,1,1.0,64,16,2,128,16,8,8,12,8,256,16,32,16,BiModeBP
311,2,3.4,16,128,4,2048,4,2,12,8,2,256,16,16,16,LocalBP
312,8,1.8,64,64,8,256,16,8,2,4,2,128,128,64,64,BiModeBP
313,2,1.6,64,16,8,256,16,2,12,8,12,32,128,16,32,LocalBP
